#
#logT(K) H C for Z = 0., 0.01, 0.1, 0.2, 0.3, 1.0
#
4.1  7.103E-25  3.552E-24  7.534E-25  3.554E-24  1.139E-24  3.571E-24  1.565E-24  3.589E-24  1.987E-24  3.608E-24  4.847E-24  3.732E-24
4.2  1.697E-24  3.101E-24  1.763E-24  3.103E-24  2.357E-24  3.121E-24  3.012E-24  3.140E-24  3.661E-24  3.159E-24  8.036E-24  3.290E-24
4.3  4.834E-24  2.621E-24  4.940E-24  2.623E-24  5.893E-24  2.642E-24  6.942E-24  2.664E-24  7.980E-24  2.685E-24  1.496E-23  2.826E-24
4.4  1.013E-23  2.031E-24  1.030E-23  2.033E-24  1.184E-23  2.055E-24  1.354E-23  2.078E-24  1.522E-23  2.101E-24  2.655E-23  2.258E-24
4.5  1.316E-23  1.482E-24  1.344E-23  1.484E-24  1.597E-23  1.506E-24  1.876E-23  1.529E-24  2.152E-23  1.553E-24  4.024E-23  1.712E-24
4.6  1.214E-23  1.125E-24  1.260E-23  1.127E-24  1.672E-23  1.148E-24  2.126E-23  1.171E-24  2.577E-23  1.193E-24  5.635E-23  1.348E-24
4.7  1.055E-23  9.115E-25  1.128E-23  9.137E-25  1.778E-23  9.340E-25  2.496E-23  9.564E-25  3.207E-23  9.786E-25  8.038E-23  1.131E-24
4.8  1.347E-23  7.506E-25  1.456E-23  7.528E-25  2.429E-23  7.727E-25  3.503E-23  7.947E-25  4.569E-23  8.166E-25  1.180E-22  9.660E-25
4.9  2.457E-23  5.316E-25  2.608E-23  5.337E-25  3.965E-23  5.529E-25  5.461E-23  5.741E-25  6.946E-23  5.951E-25  1.702E-22  7.394E-25
5.0  2.960E-23  2.511E-25  3.149E-23  2.530E-25  4.842E-23  2.702E-25  6.710E-23  2.892E-25  8.563E-23  3.082E-25  2.114E-22  4.380E-25
5.1  2.297E-23  8.794E-26  2.498E-23  8.948E-26  4.300E-23  1.033E-25  6.287E-23  1.185E-25  8.259E-23  1.337E-25  2.165E-22  2.381E-25
5.2  1.568E-23  2.977E-26  1.790E-23  3.097E-26  3.784E-23  4.174E-26  5.984E-23  5.365E-26  8.169E-23  6.551E-26  2.301E-22  1.471E-25
5.3  1.081E-23  1.120E-26  1.331E-23  1.211E-26  3.573E-23  2.030E-26  6.048E-23  2.936E-26  8.505E-23  3.838E-26  2.520E-22  1.005E-25
5.4  7.822E-24  4.829E-27  1.040E-23  5.489E-27  3.356E-23  1.141E-26  5.912E-23  1.797E-26  8.450E-23  2.450E-26  2.570E-22  6.945E-26
5.5  5.958E-24  2.358E-27  7.721E-24  2.770E-27  2.354E-23  6.475E-27  4.100E-23  1.058E-26  5.834E-23  1.466E-26  1.763E-22  4.277E-26
5.6  4.790E-24  1.274E-27  6.170E-24  1.572E-27  1.854E-23  4.249E-27  3.220E-23  7.212E-27  4.576E-23  1.016E-26  1.380E-22  3.048E-26
5.7  4.143E-24  7.463E-28  5.458E-24  9.832E-28  1.726E-23  3.112E-27  3.028E-23  5.467E-27  4.321E-23  7.814E-27  1.312E-22  2.397E-26
5.8  3.622E-24  4.651E-28  4.624E-24  6.395E-28  1.361E-23  2.206E-27  2.354E-23  3.939E-27  3.340E-23  5.666E-27  1.005E-22  1.755E-26
5.9  3.304E-24  3.045E-28  4.100E-24  4.382E-28  1.124E-23  1.640E-27  1.913E-23  2.970E-27  2.696E-23  4.294E-27  8.025E-23  1.341E-26
6.0  3.124E-24  2.073E-28  3.893E-24  3.188E-28  1.079E-23  1.321E-27  1.841E-23  2.430E-27  2.597E-23  3.534E-27  7.747E-23  1.114E-26
6.1  3.078E-24  1.456E-28  3.765E-24  2.381E-28  9.932E-24  1.069E-27  1.674E-23  1.988E-27  2.350E-23  2.904E-27  6.956E-23  9.208E-27
6.2  3.104E-24  1.049E-28  3.656E-24  1.800E-28  8.607E-24  8.547E-28  1.407E-23  1.602E-27  1.950E-23  2.346E-27  5.648E-23  7.475E-27
6.3  3.185E-24  7.702E-29  3.539E-24  1.324E-28  6.715E-24  6.296E-28  1.022E-23  1.180E-27  1.370E-23  1.729E-27  3.742E-23  5.517E-27
6.4  3.311E-24  5.748E-29  3.524E-24  9.503E-29  5.436E-24  4.325E-28  7.548E-24  8.065E-28  9.645E-24  1.179E-27  2.393E-23  3.757E-27
6.5  3.473E-24  4.348E-29  3.612E-24  6.913E-29  4.863E-24  2.998E-28  6.244E-24  5.554E-28  7.615E-24  8.105E-28  1.696E-23  2.579E-27
6.6  3.736E-24  3.325E-29  3.835E-24  5.230E-29  4.727E-24  2.236E-28  5.712E-24  4.137E-28  6.690E-24  6.035E-28  1.335E-23  1.925E-27
6.7  4.040E-24  2.564E-29  4.123E-24  4.133E-29  4.869E-24  1.825E-28  5.693E-24  3.393E-28  6.511E-24  4.962E-28  1.208E-23  1.593E-27
6.8  4.381E-24  1.991E-29  4.456E-24  3.370E-29  5.123E-24  1.580E-28  5.860E-24  2.962E-28  6.591E-24  4.347E-28  1.157E-23  1.409E-27
